SpO2,rrvalues
96.3032,0.784
96.3025,0.754
96.3036,0.762
96.303,0.756
96.3036,0.781
96.3029,0.767
96.3025,0.735
96.3032,0.699
96.304,0.662
96.3019,0.687
96.3035,0.722
96.3031,0.762
96.3038,0.776
96.3026,0.789
96.303,0.813
96.3027,0.817
96.3031,0.813
96.3033,0.812
96.3021,0.782
96.3037,0.768
96.3043,0.757
96.3032,0.79
96.303,0.865
96.3024,0.867
96.303,0.869
96.3029,0.865
96.3037,0.848
96.3036,0.856
96.3028,0.83
96.3026,0.808
96.3025,0.764
96.3031,0.748
96.3039,0.727
96.3025,0.725
96.3035,0.735
96.3035,0.809
96.3029,0.868
96.3036,0.873
96.3032,0.854
96.3021,0.865
96.3029,0.843
96.3032,0.817
96.3034,0.782
96.303,0.76
96.3022,0.761
96.3034,0.778
96.3035,0.792
96.3036,0.803
96.3037,0.827
96.3023,0.831
96.3032,0.846
96.3034,0.867
95.7418,0.83
95.2993,0.809
95.2993,0.792
95.2988,0.786
95.2995,0.779
95.3002,0.785
95.3001,0.786
95.3019,0.794
96.2939,0.795
96.3042,0.796
96.3036,0.798
96.052,0.821
95.3001,0.82
95.2985,0.821
95.2998,0.8
95.3001,0.815
95.2996,0.831
95.2992,0.83
95.2985,0.817
95.3001,0.824
95.2995,0.821
95.2995,0.826
95.2996,0.809
95.2996,0.8
95.2984,0.782
95.2995,0.787
95.2998,0.814
95.2995,0.838
95.2992,0.851
95.2989,0.806
95.2997,0.813
95.2996,0.806
95.2994,0.825
95.2998,0.807
95.2981,0.799
95.2995,0.778
95.2999,0.77
95.2999,0.766
95.2992,0.775
95.2987,0.78
95.2999,0.75
95.2993,0.747
95.2998,0.783
95.2987,0.764
95.2998,0.787
95.2993,0.792
95.2997,0.795
95.2995,0.787
95.298,0.781
95.2995,0.758
96.0092,0.747
96.9999,0.761
96.9976,0.778
96.999,0.827
96.9998,0.831
96.3427,0.8
95.2994,0.794
95.2981,0.811
95.2993,0.809
95.2995,0.788
95.2994,0.787
95.2997,0.785
95.298,0.799
95.299,0.801
95.2999,0.794
95.2996,0.787
95.2992,0.808
95.2981,0.806
95.2994,0.804
95.2994,0.781
95.2997,0.773
95.2996,0.778
95.2979,0.801
95.2992,0.802
95.8178,0.787
96.3035,0.766
96.303,0.767
96.3033,0.77
96.3035,0.788
96.3036,0.815
96.3032,0.811
96.3027,0.812
96.3038,0.838
96.3034,0.826
96.3033,0.807
96.3037,0.772
96.3023,0.767
96.3031,0.771
96.3031,0.785
96.3033,0.805
96.3033,0.801
96.3027,0.785
96.3041,0.794
96.3034,0.794
96.3033,0.794
96.3042,0.789
96.3025,0.779
96.3033,0.799
96.3036,0.808
96.3035,0.813
96.3039,0.789
96.3022,0.78
96.3036,0.774
96.3037,0.767
96.3031,0.781
96.3025,0.764
96.3037,0.748
96.3034,0.727
96.3035,0.776
96.3017,0.753
96.3033,0.75
96.3036,0.719
96.4193,0.686
97.3042,0.668
97.3058,0.707
97.0625,0.72
96.3022,0.734
96.3039,0.741
96.3037,0.762
96.3029,0.782
96.3029,0.812
96.3028,0.783
96.3034,0.784
96.3036,0.776
96.3037,0.789
96.3023,0.791
97.2168,0.795
96.6524,0.791
96.3045,0.779
96.4185,0.796
97.3039,0.781
96.4704,0.767
96.8318,0.763
97.3058,0.77
97.3055,0.785
97.3054,0.805
97.3053,0.83
97.3057,0.855
97.3062,0.843
97.3063,0.806
97.305,0.812
97.3062,0.805
97.3058,0.799
97.3058,0.8
97.3062,0.795
97.3053,0.795
97.3066,0.805
97.3058,0.833
97.3058,0.844
97.3061,0.858
97.306,0.84
97.3052,0.836
97.3065,0.834
97.306,0.849
97.306,0.817
97.3065,0.823
97.3064,0.792
97.3054,0.774
97.3064,0.786
97.3062,0.779
97.3063,0.793
97.306,0.817
97.3054,0.827
97.3063,0.838
97.3058,0.833
