"ecg","Rrvalues"
"-1.3694","0.717"
"-1.3905","0.707"
"-1.382","0.713"
"-1.3723","0.724"
"-1.3654","0.784"
"-1.3596","0.796"
"-1.3618","0.793"
"-1.3573","0.792"
"-1.3416","0.764"
"-1.337","0.758"
"-1.3466","0.748"
"-1.3637","0.737"
"-1.3708","0.728"
"-1.3643","0.707"
"-1.3575","0.683"
"-1.35","0.69"
"-1.364","0.712"
"-1.3582","0.759"
"-1.361","0.844"
"-1.3652","0.831"
"-1.3557","0.845"
"-1.3489","0.821"
"-1.3612","0.81"
"-1.3617","0.806"
"-1.3602","0.777"
"-1.3652","0.765"
"-1.3656","0.754"
"-1.3679","0.755"
"-1.3731","0.762"
"-1.372","0.806"
"-1.3716","0.827"
"-1.3623","0.843"
"-1.3639","0.847"
"-1.3711","0.837"
"-1.3665","0.814"
"-1.3603","0.788"
"-1.3735","0.756"
"-1.3688","0.759"
"-1.3475","0.763"
"-1.355","0.733"
"-1.3514","0.691"
"-1.3474","0.68"
"-1.3492","0.675"
"-1.374","0.672"
"-1.3648","0.704"
"-1.3642","0.698"
"-1.3505","0.755"
"-1.3569","0.773"
"-1.286","0.784"
"-0.2666","0.775"
"-0.5494","0.744"
"-0.9107","0.735"
"-1.1065","0.735"
"-1.2021","0.739"
"-1.2879","0.711"
"-1.3104","0.722"
"-1.3325","0.7"
"-1.3523","0.715"
"-1.3512","0.719"
"-1.3403","0.744"
"-1.3664","0.751"
"-1.3638","0.752"
"-1.3704","0.751"
"-1.3738","0.738"
"-1.3757","0.745"
"-1.3709","0.753"
"-1.3858","0.745"
"-1.3819","0.732"
"-1.3872","0.73"
"-1.3887","0.723"
"-1.3811","0.717"
"-1.3751","0.726"
"-1.3863","0.734"
"-1.3873","0.746"
"-1.3813","0.76"
"-1.3798","0.766"
"-1.3795","0.75"
"-1.3614","0.748"
"-1.3781","0.749"
"-1.3877","0.738"
"-1.3862","0.735"
"-1.3792","0.745"
"-1.3773","0.736"
"-1.3576","0.741"
"-1.3544","0.739"
"-1.369","0.74"
"-1.3801","0.74"
"-1.3842","0.761"
"-1.3741","0.762"
"-1.3568","0.791"
"-1.365","0.801"
"-1.3601","0.8"
"-1.3697","0.787"
"-1.3758","0.772"
"-1.3803","0.76"
"-1.3774","0.743"
"-1.3661","0.752"
"-1.3772","0.754"
"-1.3773","0.757"
"-1.3932","0.765"
"-1.3716","0.795"
"-1.3506","0.799"
"-1.3379","0.79"
"-1.3524","0.745"
"-1.3743","0.709"
"-1.3657","0.706"
"-1.3776","0.692"
"-1.3685","0.69"
"-1.3608","0.697"
"-1.3705","0.714"
"-1.3645","0.715"
"-1.3567","0.716"
"-1.3748","0.718"
"-1.3698","0.704"
"-1.3676","0.72"
"-1.3778","0.738"
"-1.377","0.749"
"-1.3632","0.743"
"-1.3652","0.748"
"-1.3564","0.729"
"-1.3504","0.744"
"-1.3615","0.761"
"-1.3583","0.764"
"-1.3703","0.764"
"-1.3632","0.758"
"-1.3569","0.757"
"-1.3531","0.765"
"-1.3649","0.756"
"-1.3736","0.757"
"-1.3748","0.759"
"-1.3726","0.781"
"-1.359","0.815"
"-1.3575","0.865"
"-1.3685","0.879"
"-1.3864","0.856"
"-1.3856","0.86"
"-1.3678","0.857"
"-1.3578","0.847"
"-1.3674","0.82"
"-1.3745","0.774"
"-1.3624","0.752"
"-1.3642","0.748"
"-1.3645","0.759"
"-1.3723","0.788"
"-1.3909","0.823"
"-1.3627","0.816"
"-1.3655","0.787"
"-1.3521","0.772"
"-1.3611","0.781"
"-1.3672","0.776"
"-1.3626","0.772"
"-1.3748","0.753"
"-1.3869","0.742"
"-1.3826","0.733"
"-1.3737","0.71"
"-1.3746","0.726"
"-1.3703","0.694"
"-1.3784","0.682"
"-1.3718","0.653"
"-1.347","0.671"
"-1.3597","0.671"
"-1.3659","0.694"
"-1.3794","0.708"
"-1.3723","0.728"
"-1.3564","0.766"
"-1.361","0.774"
"-1.3578","0.772"
"-1.3489","0.752"
"-1.3531","0.738"
"-1.3581","0.726"
"-1.36","0.725"
"-1.3691","0.719"
"-1.3612","0.732"
"-1.348","0.723"
"-1.3629","0.72"
"-1.3556","0.724"
"-1.337","0.745"
"-1.3689","0.721"
"-1.3776","0.718"
"-1.3587","0.713"
"-1.3723","0.677"
"-1.3567","0.687"
"-1.3501","0.709"
"-1.3673","0.692"
"-1.3597","0.704"
"-1.3638","0.707"
"-1.3648","0.7"
"-1.4018","0.717"
"-1.4045","0.739"
"-1.4037","0.748"
