respiratoryrate,rrvalues
13.9222,0.827
13.9222,0.831
14.2654,0.8
15.309,0.794
15.309,0.811
15.309,0.809
15.309,0.788
15.4388,0.787
15.6917,0.785
15.6917,0.799
15.6917,0.801
15.6917,0.794
15.3542,0.787
15.0438,0.808
15.0438,0.806
15.0438,0.804
15.0438,0.781
14.7316,0.773
14.4297,0.778
14.4297,0.801
14.4297,0.802
14.4297,0.787
14.1942,0.766
13.3623,0.767
13.3623,0.77
13.3623,0.788
13.3623,0.815
13.3623,0.811
14.1317,0.812
14.7757,0.838
14.7757,0.826
14.7757,0.807
14.7757,0.772
15.0361,0.767
15.2866,0.771
15.2866,0.785
15.2866,0.805
15.2866,0.801
15.2275,0.785
15.1743,0.794
15.1743,0.794
15.1743,0.794
15.1743,0.789
15.0844,0.779
15.003,0.799
15.003,0.808
15.003,0.813
15.003,0.789
14.5283,0.78
14.0749,0.774
14.0749,0.767
14.0749,0.781
14.0749,0.764
14.0749,0.748
62.3443,0.727
25.7307,0.776
9.0264,0.753
9.0264,0.75
9.0264,0.719
9.0264,0.686
9.0264,0.668
9.0264,0.707
9.0264,0.72
9.0264,0.734
11.4652,0.741
13.8713,0.762
13.8713,0.782
13.8713,0.812
13.8713,0.783
13.8713,0.784
12.7402,0.776
12.6947,0.789
12.6947,0.791
12.6947,0.795
12.6947,0.791
12.6947,0.779
15.3669,0.796
15.4898,0.781
15.4898,0.767
15.4898,0.763
15.4898,0.77
13.5594,0.785
13.4774,0.805
13.4774,0.83
13.4774,0.855
13.4774,0.843
12.8868,0.806
12.3955,0.812
12.3955,0.805
12.3955,0.799
12.3955,0.8
12.3955,0.795
11.8091,0.795
11.2472,0.805
11.2472,0.833
11.2472,0.844
11.2472,0.858
11.2472,0.84
11.5568,0.836
14.2225,0.834
14.2225,0.849
14.2225,0.817
14.2225,0.823
14.2225,0.792
15.121,0.774
15.14,0.786
15.14,0.779
15.14,0.793
15.14,0.817
15.14,0.827
15.14,0.838
15.14,0.833
