heartrate,rrvalues
78.3831,0.765
79.565,0.754
79.5016,0.755
78.7545,0.762
74.447,0.806
72.4997,0.827
71.1946,0.843
70.8482,0.847
71.7147,0.837
73.6829,0.814
76.1479,0.788
79.3623,0.756
79.0001,0.759
78.6744,0.763
81.8896,0.733
86.7493,0.691
88.2645,0.68
88.9009,0.675
89.3502,0.672
85.1967,0.704
85.9673,0.698
79.4302,0.755
77.6505,0.773
76.5352,0.784
77.4193,0.775
80.6702,0.744
81.5496,0.735
81.716,0.735
81.0895,0.739
84.3901,0.711
83.1718,0.722
85.7394,0.7
83.9262,0.715
83.376,0.719
80.63,0.744
79.8919,0.751
79.784,0.752
79.9601,0.751
81.2281,0.738
80.5828,0.745
79.6444,0.753
80.5641,0.745
81.9863,0.732
82.2221,0.73
82.9765,0.723
83.5994,0.717
82.644,0.726
81.7614,0.734
80.4441,0.746
78.9307,0.76
78.3358,0.766
80.0297,0.75
80.2096,0.748
80.1307,0.749
81.3196,0.738
81.5593,0.735
80.5985,0.745
81.5172,0.736
80.9436,0.741
81.1684,0.739
81.1041,0.74
81.0609,0.74
78.8623,0.761
78.7263,0.762
75.8285,0.791
74.9123,0.801
75.0244,0.8
76.2853,0.787
77.7001,0.772
78.9157,0.76
80.7421,0.743
79.8055,0.752
79.5314,0.754
79.2815,0.757
78.4882,0.765
75.4681,0.795
75.0541,0.799
75.9455,0.79
80.5277,0.745
84.6334,0.709
85.0553,0.706
86.6668,0.692
86.9871,0.69
85.9885,0.697
84.0874,0.714
83.878,0.715
83.8363,0.716
83.5831,0.718
85.1731,0.704
83.3725,0.72
81.2832,0.738
80.073,0.749
80.7682,0.743
80.2024,0.748
82.3365,0.729
80.6691,0.744
78.8728,0.761
78.4862,0.764
78.5673,0.764
79.1089,0.758
79.2481,0.757
78.4788,0.765
79.3655,0.756
79.2823,0.757
78.9952,0.759
76.8163,0.781
73.6835,0.815
69.2932,0.865
68.3324,0.879
70.0591,0.856
69.7448,0.86
69.9946,0.857
70.8565,0.847
73.2098,0.82
77.5128,0.774
79.813,0.752
80.1245,0.748
79.1427,0.759
76.0864,0.788
72.9002,0.823
73.5563,0.816
76.2042,0.787
77.7941,0.772
76.7704,0.781
77.2789,0.776
77.726,0.772
79.7579,0.753
80.7811,0.742
81.8947,0.733
84.5409,0.71
82.6414,0.726
86.4512,0.694
87.9311,0.682
91.8595,0.653
89.4914,0.671
89.413,0.671
86.4509,0.694
84.7726,0.708
82.4249,0.728
78.2642,0.766
77.4995,0.774
77.7389,0.772
79.8629,0.752
81.2323,0.738
82.6329,0.726
82.7999,0.725
83.4386,0.719
81.9745,0.732
83.0068,0.723
83.2864,0.72
82.8934,0.724
80.5914,0.745
83.1672,0.721
83.5127,0.718
84.2235,0.713
88.5801,0.677
87.3416,0.687
84.6495,0.709
86.7402,0.692
85.2453,0.704
84.8648,0.707
85.6165,0.7
83.7169,0.717
81.243,0.739
