stethography,rrvalues
1.4463,0.742
0.7282,0.754
-0.7751,0.757
-0.7095,0.769
0.6256,0.777
1.2229,0.779
1.1148,0.759
-0.3837,0.776
-0.6648,0.762
0.5184,0.754
0.9577,0.758
0.1303,0.759
-1.1219,0.753
-1.1284,0.746
0.3304,0.732
1.0598,0.712
0.2091,0.708
-0.9508,0.727
-1.17,0.733
0.0817,0.751
1.072,0.753
0.8396,0.767
-0.4582,0.785
-1.0917,0.788
-0.8515,0.764
0.4737,0.769
1.3121,0.748
0.8766,0.744
-0.4603,0.751
-0.9999,0.749
-0.1409,0.742
1.06,0.751
1.1353,0.752
-0.1067,0.779
-1.0342,0.789
-0.6747,0.791
0.8412,0.765
1.4533,0.749
0.4478,0.751
-1.0465,0.75
-0.8797,0.745
0.7512,0.744
1.3715,0.745
0.5403,0.756
-0.8645,0.768
-1.1021,0.771
0.4333,0.764
1.293,0.759
0.6091,0.769
-0.705,0.798
-1.1727,0.797
-0.0336,0.781
1.1943,0.775
1.3296,0.756
0.0741,0.772
-1.0587,0.762
-0.7015,0.768
0.8177,0.776
1.2845,0.783
0.3645,0.817
-0.9033,0.825
-0.509,0.802
0.9252,0.794
1.0661,0.767
-0.1891,0.756
-1.0866,0.737
-0.9287,0.732
0.5143,0.737
1.2464,0.739
0.5754,0.76
-0.6522,0.809
-1.1431,0.827
-0.4586,0.811
0.9414,0.796
1.3719,0.769
0.4723,0.765
-0.824,0.769
-1.1723,0.77
0.3636,0.764
1.2704,0.76
0.9864,0.762
0.4234,0.793
-0.5296,0.723
-0.8785,0.699
-1.3411,0.689
-1.4591,0.715
0.2845,0.733
1.6042,0.738
1.3132,0.774
-0.1525,0.801
-1.0772,0.823
-0.3963,0.827
1.2598,0.789
1.5104,0.757
0.1087,0.772
-1.1635,0.774
-1.3342,0.808
0.1007,0.802
1.2963,0.786
0.7128,0.811
-0.8498,0.833
-1.3755,0.833
-0.4757,0.829
1.1223,0.799
0.8948,0.79
-0.4716,0.805
-0.8441,0.796
0.6547,0.786
1.1974,0.792
0.024,0.809
-1.089,0.822
-0.6455,0.821
0.8857,0.821
1.2478,0.822
-0.0155,0.82
-1.1182,0.821
0.0163,0.785
1.2238,0.792
0.7485,0.807
-0.6973,0.815
-1.1986,0.821
0.295,0.818
1.2603,0.782
0.3205,0.808
-1.1264,0.802
-0.7253,0.804
0.9259,0.805
1.1277,0.782
-0.3038,0.807
-1.2761,0.802
-0.4921,0.786
0.8646,0.784
0.9774,0.795
-0.2693,0.79
-1.1542,0.774
-0.0569,0.775
1.0247,0.767
0.7979,0.78
-0.6052,0.804
-1.1492,0.812
0.0499,0.796
1.0169,0.793
0.6267,0.794
-0.7143,0.787
-1.0686,0.779
0.3558,0.769
1.0399,0.771
-0.1022,0.783
-1.262,0.792
-0.8239,0.795
0.7192,0.789
1.2765,0.786
0.3649,0.798
-0.9188,0.808
-1.0767,0.805
0.4078,0.81
1.2194,0.814
0.485,0.826
-0.5009,0.84
-0.8239,0.823
-0.5014,0.754
-0.9239,0.739
-0.9508,0.724
0.2243,0.727
1.3679,0.747
1.5558,0.773
0.3902,0.809
-0.8294,0.817
-0.4205,0.821
0.8807,0.814
1.2066,0.809
0.116,0.812
-1.1338,0.795
-1.3433,0.786
-0.36,0.772
0.9983,0.759
1.2674,0.762
0.285,0.779
-1.1165,0.776
-1.3203,0.803
0.1818,0.788
1.3487,0.798
0.8787,0.799
-0.7706,0.806
-1.1761,0.803
0.331,0.773
1.2402,0.776
0.6561,0.78
-0.911,0.78
-1.2304,0.782
0.2762,0.795
1.2429,0.792
0.7417,0.813
-0.7301,0.831
-1.3759,0.832
-0.7659,0.826
0.8379,0.797
1.374,0.794
0.164,0.792
-1.1863,0.794
-1.1558,0.798
0.3783,0.787
1.319,0.788
0.785,0.809
-0.8491,0.819
-1.2868,0.834
0.1902,0.823
1.1689,0.826
0.585,0.841
-0.7645,0.823
-1.1935,0.826
-0.1009,0.779
1.1224,0.785
1.0224,0.776
-0.298,0.777
-1.2054,0.771
-0.6633,0.761
0.7142,0.76
0.7235,0.776
-0.3304,0.789
-1.0823,0.787
-0.2096,0.794
0.4279,0.798
-0.2183,0.801
-0.9121,0.828
-0.2761,0.818
0.5387,0.835
-0.0324,0.854
-0.7128,0.854
-0.1318,0.835
0.6398,0.797
0.282,0.792
-0.5108,0.789
-0.4247,0.791
0.6521,0.804
0.8259,0.826
-0.3195,0.866
-0.9042,0.885
-0.3135,0.862
0.9896,0.84
1.5332,0.813
1.1278,0.785
-0.0467,0.786
-0.7388,0.771
-0.4033,0.762
0.8139,0.742
1.489,0.73
1.1923,0.737
-0.0697,0.756
-0.9772,0.773
-0.8916,0.82
0.5376,0.807
1.4143,0.779
1.1149,0.8
-0.0833,0.793
-1.0986,0.773
-1.086,0.758
0.3903,0.74
1.2888,0.739
0.8895,0.735
-0.4832,0.762
-1.5394,0.773
-1.3726,0.793
0.4111,0.798
1.3654,0.792
0.7873,0.809
-0.5541,0.824
-1.0552,0.825
-0.9774,0.754
-0.8414,0.709
-0.7944,0.7
0.6911,0.719
1.7598,0.73
1.5847,0.744
0.1795,0.803
-1.093,0.831
0.0452,0.818
1.2572,0.815
1.3377,0.804
0.3791,0.799
-1.1738,0.802
-0.8941,0.784
0.5784,0.775
1.3449,0.784
0.5638,0.817
-1.1632,0.846
-1.0334,0.843
0.5431,0.813
1.3302,0.791
0.5817,0.793
-1.079,0.793
-1.5164,0.786
-0.5032,0.752
0.9322,0.733
1.2915,0.68
0.3133,0.68
-1.1909,0.699
-1.6133,0.73
-0.7976,0.781
0.809,0.793
0.833,0.797
-0.5738,0.817
-0.9988,0.849
0.4805,0.804
1.4648,0.8
1.3091,0.787
-0.4827,0.803
-1.4698,0.789
-0.5804,0.784
0.9138,0.791
1.5006,0.751
0.5388,0.765
-1.326,0.785
-1.5284,0.794
0.1073,0.784
1.3268,0.787
1.3883,0.775
-0.3419,0.825
-1.3728,0.834
-0.5726,0.814
0.9456,0.805
1.5539,0.777
0.4476,0.813
-1.2324,0.839
-1.3285,0.876
0.0745,0.838
1.3172,0.804
1.4538,0.797
-0.3597,0.836
-1.4088,0.819
-0.658,0.816
0.9685,0.828
1.6623,0.825
0.7555,0.842
-1.2273,0.846
-1.4817,0.856
0.2324,0.845
1.3639,0.822
0.7994,0.794
-0.9033,0.767
-1.3251,0.776
0.1763,0.783
1.3196,0.789
1.0542,0.798
-0.5793,0.847
-1.1004,0.841
0.331,0.826
1.3233,0.816
0.9245,0.807
-0.8758,0.819
-1.1768,0.806
0.3849,0.793
1.1786,0.772
0.5324,0.774
-0.9025,0.786
-1.2024,0.784
-0.0844,0.786
1.0658,0.776
1.3398,0.781
-0.0197,0.803
-1.0932,0.792
-0.721,0.726
-0.9388,0.717
-0.2339,0.733
1.2037,0.764
1.6775,0.791
0.7964,0.835
-0.9391,0.845
-1.0234,0.842
0.5839,0.799
1.4128,0.762
1.1881,0.756
-0.4853,0.776
-1.5825,0.8
-0.8242,0.806
0.8477,0.802
1.4488,0.796
0.6728,0.837
-1.1528,0.867
-1.1658,0.856
0.5768,0.813
1.3412,0.771
0.7284,0.772
-0.8617,0.773
-1.4811,0.8
-0.5074,0.824
1.0966,0.804
1.4399,0.824
0.2086,0.84
-1.4941,0.87
-1.1472,0.847
0.7611,0.82
1.5719,0.786
1.0286,0.77
-0.6343,0.757
-1.37,0.763
-0.0895,0.785
1.191,0.795
1.0105,0.808
-0.5598,0.848
-1.3267,0.851
0.1446,0.833
1.3258,0.815
0.6978,0.785
-0.8283,0.781
-0.9374,0.79
0.6222,0.8
1.3202,0.78
0.6732,0.798
-0.9521,0.812
-1.2849,0.827
0.1574,0.809
1.3212,0.801
1.1111,0.806
-0.6064,0.814
-1.0832,0.82
0.4405,0.796
1.3142,0.798
0.7346,0.814
-0.9526,0.794
-0.8895,0.807
0.6175,0.806
1.3635,0.792
0.8004,0.8
-0.8528,0.797
-0.9502,0.797
0.6108,0.791
1.3127,0.782
0.4805,0.8
-1.0976,0.803
-1.2814,0.802
0.1865,0.791
1.3032,0.773
1.0297,0.77
-0.7262,0.787
-1.3262,0.8
-0.125,0.79
1.2391,0.801
1.3749,0.796
-0.3668,0.815
-1.3205,0.812
-0.5569,0.801
0.9885,0.781
1.5887,0.769
0.3037,0.779
-0.9786,0.779
-1.0042,0.764
-0.6676,0.709
-0.574,0.693
-0.1483,0.729
1.3036,0.776
2.0377,0.767
1.373,0.793
-0.3427,0.817
-0.8189,0.817
0.7472,0.792
1.6408,0.751
1.0087,0.751
-0.6261,0.727
-1.4728,0.72
-0.7153,0.738
1.039,0.761
1.7421,0.77
0.9518,0.821
-0.7953,0.832
-0.8625,0.831
0.7705,0.808
1.5009,0.799
0.5762,0.796
-0.912,0.787
-1.0925,0.781
0.4479,0.772
1.3527,0.762
0.9412,0.762
-0.7904,0.764
-1.0846,0.759
0.5552,0.762
1.3548,0.764
0.7204,0.783
-0.8753,0.79
-0.9793,0.78
0.7737,0.759
1.661,0.737
1.1808,0.717
-0.3785,0.727
-0.7613,0.741
0.8484,0.741
1.7858,0.754
1.1219,0.781
-0.7064,0.805
-1.3852,0.824
0.1172,0.798
1.3113,0.78
0.9109,0.779
-0.6957,0.783
-1.4175,0.782
-0.1973,0.775
1.1983,0.777
1.2013,0.777
-0.1865,0.782
-1.3691,0.787
-0.4033,0.766
1.019,0.767
1.2308,0.761
-0.2704,0.777
-1.4295,0.796
-0.4719,0.782
0.9571,0.78
1.1581,0.765
-0.1626,0.772
-1.3906,0.793
-0.8055,0.79
0.8427,0.798
1.1345,0.775
-0.2862,0.783
-1.4657,0.78
-1.3206,0.787
0.2836,0.764
1.0767,0.763
0.5148,0.787
-0.8712,0.803
-1.2719,0.819
-0.25,0.811
0.8774,0.787
1.0133,0.784
-0.1176,0.782
-1.0131,0.781
-0.6554,0.793
0.6523,0.799
1.2781,0.784
0.7103,0.798
-0.7288,0.85
-1.0096,0.827
0.4641,0.825
1.4184,0.778
1.3767,0.763
-0.0755,0.754
-1.1677,0.745
-0.2967,0.743
1.0311,0.732
1.5993,0.734
0.9887,0.766
-0.9479,0.792
-1.2909,0.809
0.0426,0.79
1.2033,0.766
0.9804,0.779
-0.4409,0.798
-1.3065,0.808
-0.6593,0.788
0.8161,0.78
1.3834,0.77
-0.0693,0.781
-1.1434,0.796
-0.8578,0.798
0.5705,0.783
1.3635,0.769
0.6933,0.777
-0.7697,0.794
-0.7012,0.801
0.7322,0.792
1.0972,0.783
-0.0692,0.794
-0.9073,0.796
-0.7376,0.813
0.6341,0.78
1.2761,0.773
0.4208,0.785
-0.7088,0.81
-0.9888,0.81
0.2179,0.786
0.9677,0.782
-0.0525,0.799
-0.7982,0.806
-0.9283,0.777
0.1416,0.754
1.1044,0.738
1.5437,0.747
0.9371,0.868
-0.3716,0.81
-0.8982,0.875
-0.3173,0.871
0.9785,0.835
1.4782,0.822
0.9264,0.818
-0.3829,0.777
-0.9269,0.748
-0.8504,0.747
-0.2363,0.737
0.9689,0.733
1.4363,0.713
1.1423,0.728
-0.1693,0.755
-1.2099,0.77
-1.148,0.762
0.3066,0.764
1.3108,0.74
1.3692,0.73
0.6385,0.753
-0.8991,0.744
-1.3189,0.755
0.121,0.745
1.2684,0.742
1.3818,0.722
0.2662,0.735
-1.09,0.748
-1.0333,0.741
0.5683,0.728
1.4512,0.722
1.1067,0.73
-0.4284,0.744
-1.4631,0.757
-0.5361,0.743
0.9348,0.747
1.4716,0.705
1.0186,0.725
-0.5506,0.735
-1.2334,0.693
-0.7497,0.665
-1.0728,0.65
-0.6238,0.688
1.0154,0.695
1.7873,0.697
1.3676,0.712
-0.3831,0.732
-1.449,0.735
-0.9051,0.711
0.9159,0.693
1.661,0.685
1.0757,0.679
-0.6946,0.707
-1.3462,0.721
0.1711,0.735
1.3504,0.743
1.1049,0.753
-0.6418,0.781
-1.6063,0.792
-0.5307,0.774
1.1241,0.739
1.3935,0.718
0.1676,0.725
-1.4225,0.713
