heartrate,rrvalues
83.171,0.721
84.0202,0.714
81.1583,0.74
79.2802,0.756
77.8392,0.771
75.7341,0.792
76.1504,0.788
77.6844,0.773
78.8811,0.76
79.7447,0.753
81.266,0.738
85.7576,0.7
84.732,0.708
84.9114,0.706
80.6843,0.744
79.4692,0.755
75.623,0.793
73.1245,0.821
75.5002,0.795
76.0807,0.788
78.2575,0.767
79.2699,0.757
85.3756,0.703
90.0749,0.666
94.5819,0.634
98.7439,0.608
95.1694,0.63
92.7298,0.647
91.0009,0.66
87.9286,0.682
85.8428,0.699
83.4045,0.719
79.4507,0.756
77.8151,0.771
78.111,0.768
81.4303,0.737
81.9221,0.732
82.2722,0.729
81.5925,0.736
79.7856,0.752
77.4204,0.775
77.4494,0.774
77.6632,0.773
78.0069,0.769
78.7436,0.762
79.6516,0.753
79.8268,0.752
80.2512,0.748
80.6046,0.744
82.2298,0.73
80.1307,0.748
79.3813,0.756
76.499,0.785
73.449,0.816
72.7476,0.825
74.1887,0.809
76.1775,0.788
78.812,0.761
79.0677,0.759
77.8012,0.771
75.408,0.796
72.4246,0.828
71.9966,0.833
72.535,0.828
74.8899,0.801
75.7937,0.791
74.5992,0.805
75.9884,0.789
77.4851,0.775
78.8858,0.76
80.5319,0.745
79.7738,0.752
79.7384,0.753
79.2587,0.757
78.3078,0.766
75.2706,0.797
74.6405,0.804
75.8991,0.791
76.5958,0.783
77.1475,0.778
80.9843,0.741
82.4142,0.728
82.1193,0.73
80.8446,0.742
77.6677,0.773
75.9165,0.79
75.8803,0.791
75.9463,0.79
73.974,0.811
74.303,0.808
75.0264,0.799
75.3567,0.797
76.978,0.779
77.7926,0.771
77.0221,0.779
75.6587,0.793
76.8227,0.781
75.7194,0.793
76.605,0.783
77.7954,0.771
78.5582,0.764
81.2079,0.739
80.1056,0.749
77.9787,0.769
76.3043,0.787
78.7627,0.761
80.5423,0.745
77.5537,0.774
77.3057,0.776
79.9846,0.75
86.3169,0.695
90.8783,0.661
88.7387,0.676
87.9911,0.682
84.7538,0.708
78.5205,0.764
75.1584,0.798
73.2614,0.819
75.2292,0.798
76.8742,0.78
76.83,0.781
77.8178,0.771
78.2135,0.767
79.8435,0.752
81.6493,0.734
81.3646,0.738
78.1256,0.768
75.3696,0.796
74.4675,0.806
75.418,0.795
77.0993,0.778
79.4734,0.755
80.4041,0.747
82.1193,0.73
83.8167,0.716
82.8694,0.724
83.0884,0.722
80.7085,0.744
78.2831,0.766
74.2299,0.808
76.1986,0.788
76.1329,0.788
77.3248,0.776
78.7305,0.762
85.1043,0.705
84.3164,0.712
90.5947,0.662
89.133,0.673
88.3257,0.679
85.7971,0.7
84.2039,0.712
83.8456,0.716
84.6541,0.709
84.9426,0.706
87.2383,0.688
85.8436,0.699
79.8076,0.752
80.9191,0.741
83.1184,0.722
43.2236,1.388
95.5173,0.628
94.0049,0.638
98.4667,0.61
42.5798,1.409
82.9708,0.723
81.951,0.732
82.3872,0.728
82.5349,0.727
80.7406,0.744
81.8223,0.733
81.5229,0.736
76.2965,0.786
92.8739,0.646
88.3341,0.68
86.3324,0.694
84.606,0.71
82.347,0.728
77.5706,0.774
75.8322,0.791
75.7892,0.792
77.7296,0.772
77.132,0.777
76.6834,0.783
76.5238,0.784
77.2849,0.776
78.6512,0.763
82.4092,0.728
83.6634,0.717
81.394,0.738
79.1707,0.757
78.5534,0.764
75.4831,0.795
75.5717,0.794
75.8371,0.791
75.0633,0.8
76.6661,0.782
79.9773,0.75
81.0754,0.74
80.713,0.744
79.7539,0.752
78.3462,0.766
77.5755,0.773
79.7861,0.752
79.4785,0.755
79.6052,0.754
74.7805,0.802
72.4568,0.828
69.7769,0.86
71.0414,0.845
74.259,0.808
75.5086,0.795
75.391,0.795
75.3238,0.797
76.5009,0.784
79.5613,0.754
78.798,0.762
79.3173,0.756
76.8092,0.781
78.3078,0.767
81.5747,0.735
85.8256,0.699
90.6016,0.662
87.4633,0.687
83.0878,0.722
78.6992,0.762
77.2862,0.776
76.0981,0.789
73.774,0.813
73.4199,0.817
73.8492,0.813
73.8679,0.812
76.7674,0.782
78.0456,0.768
79.2906,0.757
75.9528,0.79
69.3604,0.865
69.1837,0.867
69.0907,0.869
69.353,0.865
70.769,0.848
70.0823,0.856
72.2655,0.83
74.2947,0.808
78.5609,0.764
80.159,0.748
82.5803,0.727
82.7574,0.725
81.5961,0.735
74.1565,0.809
69.1153,0.868
68.774,0.873
70.2299,0.854
69.334,0.865
71.1897,0.843
73.4285,0.817
76.7703,0.782
78.8796,0.76
78.8832,0.761
77.1679,0.778
75.6861,0.792
74.7432,0.803
72.5331,0.827
72.2281,0.831
70.9087,0.846
69.2083,0.867
72.2704,0.83
74.236,0.809
75.7399,0.792
76.3307,0.786
77.0152,0.779
76.4615,0.785
76.2555,0.786
75.5582,0.794
75.4905,0.795
75.3614,0.796
75.2297,0.798
73.1213,0.821
73.0977,0.82
73.1405,0.821
75.0194,0.8
73.6124,0.815
72.1523,0.831
72.2805,0.83
73.4922,0.817
72.7493,0.824
73.0779,0.821
72.6757,0.826
74.2083,0.809
74.9745,0.8
76.7424,0.782
76.2313,0.787
73.707,0.814
71.546,0.838
70.5745,0.851
74.4252,0.806
73.7401,0.813
74.4859,0.806
72.7644,0.825
74.2889,0.807
