SpO2,rrvalues
93.2892,0.713
93.291,0.719
93.2904,0.743
93.2909,0.744
93.2901,0.751
93.2909,0.785
93.2904,0.78
93.2905,0.764
93.2897,0.758
93.2909,0.74
93.2907,0.73
93.2908,0.72
93.2893,0.731
93.2905,0.726
93.2907,0.738
93.29,0.745
93.2911,0.749
93.2906,0.739
93.2909,0.746
93.2898,0.744
93.2909,0.754
93.2911,0.737
93.2913,0.719
93.29,0.721
93.2908,0.735
93.2906,0.762
93.2909,0.741
93.2899,0.758
93.2911,0.721
93.2906,0.743
93.2915,0.738
93.2898,0.741
93.2907,0.735
93.2915,0.715
93.2915,0.719
93.2901,0.718
93.2906,0.724
93.2906,0.741
93.2897,0.749
93.2913,0.756
93.2908,0.76
93.2909,0.783
93.2909,0.78
93.2896,0.769
93.291,0.76
93.2918,0.735
93.2913,0.724
93.2899,0.711
93.2907,0.729
93.291,0.766
93.2893,0.763
93.2911,0.765
93.2909,0.775
93.291,0.78
93.291,0.79
93.289,0.777
93.291,0.766
93.2908,0.741
93.2911,0.723
93.2897,0.703
93.2915,0.686
93.2912,0.716
93.2892,0.752
93.2907,0.759
93.2911,0.76
93.2911,0.761
93.2901,0.756
93.2908,0.754
93.2906,0.758
93.2905,0.741
93.289,0.723
93.291,0.677
93.2913,0.645
93.2898,0.641
93.2917,0.67
93.2919,0.693
93.2917,0.746
93.2898,0.781
93.2909,0.817
93.2907,0.832
93.2911,0.805
93.2913,0.758
93.2905,0.734
93.2912,0.741
93.291,0.715
93.2896,0.72
93.291,0.741
93.2911,0.747
93.2909,0.744
93.2901,0.758
93.2912,0.785
93.2911,0.789
93.2905,0.758
93.2909,0.751
93.2901,0.708
93.2907,0.717
93.2906,0.712
93.2894,0.721
93.291,0.719
93.2908,0.712
93.2903,0.696
93.2904,0.701
93.2912,0.718
93.2904,0.739
93.2888,0.765
93.2906,0.735
93.2912,0.75
93.2906,0.738
93.2895,0.744
93.2908,0.746
93.2906,0.751
93.2902,0.742
93.2895,0.732
93.2913,0.743
93.2909,0.76
93.1818,0.753
