respiratoryrate,rrvalues
13.5389,0.82
13.5389,0.836
13.5565,0.813
15.3269,0.794
15.3269,0.8
15.3269,0.776
15.3269,0.755
15.3269,0.759
13.4455,0.732
13.3872,0.733
13.3872,0.755
13.3872,0.756
13.3872,0.767
13.3872,0.758
13.6887,0.793
13.6898,0.821
13.6898,0.835
13.6898,0.805
13.6898,0.753
12.809,0.724
11.8413,0.738
11.8413,0.736
11.8413,0.777
11.8413,0.837
11.8413,0.81
11.8413,0.806
11.1849,0.796
11.1697,0.816
11.1697,0.82
11.1697,0.82
11.1697,0.81
11.1697,0.764
11.3362,0.767
11.7987,0.724
11.7987,0.743
11.7987,0.753
11.7987,0.768
11.7987,0.76
11.7987,0.762
10.8858,0.746
9.9777,0.781
9.9777,0.791
9.9777,0.749
9.9777,0.693
9.9777,0.669
