stethography,rrvalues
0.8507,0.788
1.1625,0.761
0.885,0.759
-0.1228,0.771
-0.8903,0.796
-0.8092,0.828
-0.3929,0.833
0.664,0.828
1.1164,0.801
0.742,0.791
-0.3296,0.805
-0.8845,0.789
-0.7196,0.775
-0.5183,0.76
-0.3686,0.745
-0.084,0.752
0.8825,0.753
1.4365,0.757
1.2495,0.766
0.2591,0.797
-0.8013,0.804
-0.91,0.791
-0.4322,0.783
0.7766,0.778
1.2848,0.741
0.9306,0.728
-0.2215,0.73
-1.0357,0.742
-1.0138,0.773
-0.3964,0.79
0.7686,0.791
1.0864,0.79
0.46,0.811
-0.6013,0.808
-0.8348,0.799
-0.6058,0.797
0.3425,0.779
1.1336,0.771
0.8694,0.779
-0.1725,0.793
-0.8556,0.781
-0.6875,0.793
-0.0002,0.783
0.9713,0.771
1.4177,0.764
0.4949,0.739
-0.7815,0.749
-0.7431,0.769
0.157,0.787
1.5394,0.761
1.7611,0.745
0.903,0.774
-0.4271,0.776
-0.6969,0.75
-0.5014,0.695
-0.2724,0.661
0.2623,0.676
1.1929,0.682
1.3324,0.708
0.3734,0.764
-0.5906,0.798
-0.5244,0.819
0.4802,0.798
1.067,0.78
0.5522,0.781
-0.378,0.771
-0.5274,0.767
0.025,0.752
1.029,0.734
1.2441,0.738
0.5514,0.768
-0.4447,0.796
-0.6623,0.806
0.0137,0.795
0.9643,0.778
0.8012,0.755
0.0001,0.747
-0.7093,0.73
0.0067,0.716
0.9504,0.724
1.0352,0.722
0.1958,0.744
-0.6606,0.766
-0.1952,0.808
0.7685,0.788
0.7609,0.788
-0.1396,0.776
-0.6431,0.762
0.5177,0.705
1.1734,0.712
1.4853,0.662
0.8943,0.673
0.2331,0.679
-0.5766,0.7
-0.8988,0.712
-0.8438,0.716
1.9939,0.709
4.6514,0.706
5.2717,0.688
4.1073,0.699
1.5175,0.752
-1.4753,0.741
-3.1022,0.722
-2.5453,1.388
-1.7646,0.628
-1.179,0.638
-0.8296,0.61
-0.416,1.409
0.182,0.723
1.8602,0.732
2.6368,0.728
2.0517,0.727
0.0219,0.744
-1.1352,0.733
-1.1622,0.736
-0.518,0.786
0.1585,0.646
0.8982,0.68
0.7193,0.694
-0.3192,0.71
-0.8782,0.728
-0.7552,0.774
-0.0865,0.791
1.0509,0.792
1.2529,0.772
0.7408,0.777
-0.5029,0.783
-0.7004,0.784
-0.3459,0.776
0.5441,0.763
0.8657,0.728
1.3129,0.717
0.6592,0.738
0.3619,0.757
0.7798,0.764
1.2664,0.795
1.339,0.794
0.3636,0.791
-0.4203,0.8
-0.9426,0.782
-0.1624,0.75
0.7607,0.74
0.7601,0.744
-0.1269,0.752
-0.8297,0.766
-0.9909,0.773
-0.3254,0.752
0.8762,0.755
1.1634,0.754
0.5248,0.802
-0.6589,0.828
-0.9523,0.86
0.0192,0.845
1.0697,0.808
1.0493,0.795
0.1918,0.795
-0.7024,0.797
-0.6822,0.784
0.4688,0.754
1.0895,0.762
1.1498,0.756
0.2128,0.781
-1.0258,0.767
-1.2951,0.735
-1.0572,0.699
-0.7902,0.662
-0.7282,0.687
-0.5574,0.722
0.2697,0.762
1.178,0.776
1.0494,0.789
0.4358,0.813
-0.2074,0.817
-0.638,0.813
-0.6149,0.812
0.3421,0.782
1.1104,0.768
1.16,0.757
0.8169,0.79
-0.4197,0.865
-1.0502,0.867
-0.3623,0.869
1.1472,0.865
1.4224,0.848
0.5773,0.856
-0.7411,0.83
-1.0346,0.808
-0.6075,0.764
0.5374,0.748
1.1687,0.727
0.833,0.725
0.1276,0.735
-0.5032,0.809
-0.351,0.868
0.8104,0.873
1.0706,0.854
-0.0276,0.865
-0.8376,0.843
-0.5579,0.817
0.5702,0.782
1.1261,0.76
0.8429,0.761
-0.2689,0.778
-0.7818,0.792
-0.2225,0.803
0.8962,0.827
1.2636,0.831
0.6554,0.846
-0.7784,0.867
-1.1371,0.83
-0.0587,0.809
1.092,0.792
1.4204,0.786
1.2035,0.779
-0.2004,0.785
-1.2163,0.786
-0.6405,0.794
0.7419,0.795
1.2801,0.796
0.91,0.798
-0.5142,0.821
-1.1375,0.82
0.233,0.821
1.2134,0.8
1.0915,0.815
-0.321,0.831
-1.1899,0.83
-0.1276,0.817
1.1152,0.824
1.0731,0.821
0.2234,0.826
-0.7892,0.809
-0.4651,0.8
0.8969,0.782
1.2183,0.787
0.3448,0.814
-0.7563,0.838
-0.9108,0.851
0.3931,0.806
1.3124,0.813
1.0414,0.806
-0.1589,0.825
-1.1058,0.807
-0.8938,0.799
0.4094,0.778
1.1994,0.77
0.9787,0.766
-0.0159,0.775
-0.8729,0.78
-0.6904,0.75
-0.4635,0.747
-0.5936,0.783
0.6523,0.764
1.6258,0.787
1.347,0.792
-0.068,0.795
-0.8811,0.787
-0.2697,0.781
1.1453,0.758
1.4178,0.747
0.8218,0.761
-0.1876,0.778
-0.9361,0.827
0.1522,0.831
1.2633,0.8
0.9971,0.794
-0.0405,0.811
-0.5686,0.809
0.4509,0.788
1.4535,0.787
1.0466,0.785
-0.2911,0.799
-0.7343,0.801
0.5805,0.794
1.2534,0.787
0.6016,0.808
-0.5128,0.806
-0.7153,0.804
0.5102,0.781
1.2025,0.773
0.686,0.778
-0.7012,0.801
-1.0829,0.802
0.1254,0.787
1.0849,0.766
0.7482,0.767
-0.4928,0.77
-1.1008,0.788
-0.7332,0.815
0.5848,0.811
1.1042,0.812
0.3041,0.838
-0.956,0.826
-0.8085,0.807
0.6222,0.772
1.2409,0.767
0.5206,0.771
