"ECG","Rrvalues"
"-1.3765","0.693"
"-1.3589","0.688"
"-1.3521","0.725"
"-1.3619","0.745"
"-1.3492","0.78"
"-1.3468","0.788"
"-1.3657","0.803"
"-1.3683","0.808"
"-1.3606","0.774"
"-1.3498","0.771"
"-1.3581","0.769"
"-1.3723","0.764"
"-1.3563","0.786"
"-1.3552","0.772"
"-1.3463","0.793"
"-1.3565","0.807"
"-1.3799","0.819"
"-1.3673","0.798"
"-1.3592","0.768"
"-1.3434","0.742"
"-1.3605","0.754"
"-1.3818","0.757"
"-1.3784","0.769"
"-1.3639","0.777"
"-1.3623","0.779"
"-1.3534","0.759"
"-1.3613","0.776"
"-1.3679","0.762"
"-1.3688","0.754"
"-1.362","0.758"
"-1.3694","0.759"
"-1.3777","0.753"
"-1.3619","0.746"
"-1.3615","0.732"
"-1.3657","0.712"
"-1.3656","0.708"
"-1.3837","0.727"
"-1.3805","0.733"
"-1.3398","0.751"
"-1.3438","0.753"
"-1.3568","0.767"
"-1.3745","0.785"
"-1.3811","0.788"
"-1.3688","0.764"
"-1.3506","0.769"
"-1.3439","0.748"
"-1.3454","0.744"
"-1.3668","0.751"
"-1.3744","0.749"
"-1.3692","0.742"
"-1.3603","0.751"
"-1.3569","0.752"
"-1.3738","0.779"
"-1.3785","0.789"
"-1.3699","0.791"
"-1.3715","0.765"
"-1.371","0.749"
"-1.3633","0.751"
"-1.3725","0.75"
"-1.3611","0.745"
"-1.3565","0.744"
"-1.3526","0.745"
"-1.363","0.756"
"-1.3813","0.768"
"-1.375","0.771"
"-1.363","0.764"
"-1.3435","0.759"
"-1.356","0.769"
"-1.3708","0.798"
"-1.3804","0.797"
"-1.3667","0.781"
"-1.3606","0.775"
"-1.336","0.756"
"-1.3318","0.772"
"-1.3808","0.762"
"-1.3791","0.768"
"-1.366","0.776"
"-1.3595","0.783"
"-1.3558","0.817"
"-1.3711","0.825"
"-1.3602","0.802"
"-1.3712","0.794"
"-1.3901","0.767"
"-1.4018","0.756"
"-1.3906","0.737"
"-1.3862","0.732"
"-1.3777","0.737"
"-1.3792","0.739"
"-1.3751","0.76"
"-1.381","0.809"
"-1.3799","0.827"
"-1.3617","0.811"
"-1.3412","0.796"
"-1.3409","0.769"
"-1.3552","0.765"
"-1.3749","0.769"
"-1.3671","0.77"
"-1.3544","0.764"
"-1.3557","0.76"
"-1.3589","0.762"
"-1.4024","0.793"
"-1.3864","0.723"
"-1.3617","0.699"
"-1.3601","0.689"
"-1.3574","0.715"
"-1.3662","0.733"
"-1.3763","0.738"
"-1.3672","0.774"
"-1.3651","0.801"
"-1.3617","0.823"
"-1.3678","0.827"
"-1.3756","0.789"
"-1.3667","0.757"
"-1.3615","0.772"
"-1.3656","0.774"
