"ecg","Rrvalues"
"-1.3796","0.809"
"-1.3652","0.802"
"-1.3605","0.807"
"-1.3704","0.816"
"-1.3734","0.805"
"-1.369","0.801"
"-1.3686","0.78"
"-1.3559","0.767"
"-1.3537","0.754"
"-1.3693","0.789"
"-1.3797","0.808"
"-1.3744","0.837"
"-1.3704","0.833"
"-1.3717","0.851"
"-1.3809","0.86"
"-1.3791","0.865"
"-1.3687","0.842"
"-1.3572","0.819"
"-1.3499","0.802"
"-1.3536","0.786"
"-1.3747","0.795"
"-1.3903","0.774"
"-1.3766","0.763"
"-1.3581","0.77"
"-1.3641","0.759"
"-1.3821","0.789"
"-1.3733","0.814"
"-1.365","0.831"
"-1.3696","0.833"
"-1.3713","0.823"
"-1.3568","0.846"
"-1.3628","0.811"
"-1.3811","0.816"
"-1.3802","0.786"
"-1.3612","0.793"
"-1.3671","0.82"
"-1.3713","0.826"
"-1.3745","0.856"
"-1.3689","0.838"
"-1.3814","0.817"
"-1.3773","0.781"
"-1.3638","0.792"
"-1.3566","0.812"
"-1.3585","0.865"
"-1.3743","0.858"
"-1.3754","0.86"
"-1.3598","0.858"
"-1.3734","0.828"
"-1.3761","0.785"
"-1.363","0.773"
"-1.371","0.764"
"-1.371","0.789"
"-1.3833","0.822"
"-1.3636","0.846"
"-1.3538","0.836"
"-1.3497","0.8"
"-1.3516","0.778"
"-1.3569","0.77"
"-1.3758","0.774"
"-1.3848","0.756"
"-1.3859","0.736"
"-1.3901","0.746"
"-1.3767","0.74"
"-1.3547","0.772"
"-1.376","0.778"
"-1.3828","0.798"
"-1.3801","0.794"
"-1.3676","0.78"
"-1.351","0.766"
"-1.3623","0.777"
"-1.376","0.78"
"-1.3773","0.78"
"-1.3734","0.776"
"-1.3669","0.767"
"-1.359","0.76"
"-1.3423","0.767"
"-1.355","0.773"
"-1.3624","0.776"
"-1.3691","0.77"
"-1.3728","0.765"
"-1.3597","0.769"
"-1.3636","0.785"
"-1.3742","0.79"
"-1.381","0.791"
"-1.3766","0.787"
"-1.3713","0.759"
"-1.3967","0.752"
"-1.3856","0.775"
"-1.3716","0.798"
"-1.3707","0.781"
"-1.3672","0.789"
"-1.3684","0.771"
"-1.3662","0.781"
"-1.37","0.801"
"-1.3734","0.759"
"-1.3726","0.709"
"-1.3699","0.678"
"-1.3758","0.68"
"-1.3626","0.693"
"-1.3704","0.701"
"-1.3768","0.727"
"-1.3671","0.796"
"-1.3748","0.812"
"-1.3712","0.798"
"-1.3672","0.796"
"-1.3696","0.739"
"-1.3676","0.744"
"-1.3812","0.752"
"-1.3902","0.725"
"-1.3766","0.757"
"-1.3516","0.738"
"-1.3498","0.723"
"-1.3611","0.724"
"-1.359","0.761"
"-1.367","0.767"
"-1.3717","0.788"
"-1.3703","0.804"
"-1.3703","0.776"
"-1.3714","0.795"
"-1.3782","0.798"
"-1.3652","0.794"
"-1.3565","0.771"
"-1.3633","0.743"
"-1.3614","0.737"
"-1.3767","0.739"
"-1.3905","0.739"
"-1.3846","0.75"
"-1.3644","0.773"
"-1.3634","0.752"
"-1.3609","0.76"
"-1.3581","0.777"
"-1.3679","0.786"
"-1.3771","0.79"
"-1.3673","0.792"
"-1.3647","0.786"
"-1.3633","0.776"
"-1.3579","0.778"
"-1.3588","0.755"
"-1.3615","0.755"
"-1.3624","0.746"
"-1.3619","0.759"
"-1.3674","0.776"
"-1.3664","0.786"
"-1.3518","0.765"
"-1.3528","0.776"
"-1.3554","0.759"
"-1.3589","0.788"
"-1.3728","0.781"
"-1.3725","0.781"
"-1.3672","0.76"
"-1.3574","0.761"
"-1.3643","0.746"
"-1.351","0.764"
"-1.349","0.767"
"-1.3641","0.788"
"-1.3695","0.805"
"-1.3652","0.803"
"-1.3658","0.813"
"-1.3712","0.801"
"-1.3673","0.785"
"-1.3576","0.746"
"-1.3622","0.731"
"-1.3608","0.719"
"-1.3611","0.738"
"-1.3718","0.769"
"-1.3718","0.808"
"-1.3613","0.813"
"-1.3652","0.815"
"-1.375","0.818"
"-1.3878","0.847"
"-1.3742","0.813"
"-1.3799","0.812"
"-1.381","0.766"
"-1.3566","0.745"
"-1.3537","0.736"
"-1.3752","0.751"
"-1.3848","0.791"
"-1.3815","0.816"
"-1.3827","0.797"
"-1.3521","0.804"
"-1.3354","0.799"
"-1.3525","0.824"
"-1.3802","0.809"
"-1.3925","0.815"
"-1.3756","0.788"
"-1.3647","0.781"
"-1.3642","0.763"
"-1.3637","0.757"
"-1.3906","0.701"
"-1.3713","0.728"
"-1.3864","0.754"
"-1.3666","0.821"
"-1.3614","0.876"
"-1.3614","0.875"
"-1.3531","0.88"
"-1.3511","0.87"
"-1.3533","0.842"
"-1.3749","0.833"
"-1.3779","0.814"
"-1.3715","0.794"
"-1.3733","0.761"
"-1.3664","0.748"
"-1.362","0.757"
"-1.3579","0.765"
"-1.3665","0.773"
"-1.3621","0.753"
"-1.3797","0.705"
"-1.3741","0.723"
"-1.3613","0.722"
"-1.3519","0.729"
"-1.3396","0.722"
"-1.3454","0.725"
